Player,From,To,Pos,Ht,Wt,Birth Date,College,Active,Hall Of Fame
Darryl Dawkins,1976,1989,C,6-11,251,"January 11, 1957",,False,False
Johnny Dawkins,1987,1995,G,6-2,165,"September 28, 1963",Duke University,False,False
Paul Dawkins,1980,1980,F,6-5,190,"June 10, 1957",Northern Illinois University,False,False
Branden Dawson,2016,2016,F,6-6,225,"February 1, 1993",Michigan State University,True,False
Eric Dawson,2012,2012,F,6-9,250,"July 7, 1984",Midwestern State University,True,False
Jimmy Dawson,1968,1968,G,6-0,175,"April 18, 1945",University of Illinois at Urbana-Champaign,False,False
Tony Dawson,1991,1995,F,6-7,215,"August 25, 1967",Florida State University,False,False
Todd Day,1993,2001,G-F,6-6,188,"January 7, 1970",University of Arkansas,False,False
Austin Daye,2010,2015,F,6-11,220,"June 5, 1988",Gonzaga University,True,False
Darren Daye,1984,1988,F-G,6-8,220,"November 30, 1960","University of California, Los Angeles",False,False
Nando De Colo,2013,2014,G,6-5,200,"June 23, 1987",,True,False
Greg Deane,1980,1980,G,6-4,190,"December 6, 1957",University of Utah,False,False
Billy DeAngelis,1971,1971,G,6-1,180,"October 5, 1946",Saint Joseph's University,False,False
Dave DeBusschere,1963,1974,F-G,6-6,220,"October 16, 1940",University of Detroit Mercy,False,True
Andrew DeClercq,1996,2005,F-C,6-10,230,"February 1, 1973",University of Florida,False,False
Dewayne Dedmon,2014,2016,C,7-0,245,"August 12, 1989",University of Southern California,True,False
Donald Dee,1969,1969,F,6-8,210,"August 9, 1943",Saint Mary of the Plains College,False,False
Archie Dees,1959,1962,F-C,6-8,205,"February 22, 1936",Indiana University,False,False
Terry Dehere,1994,1999,G,6-2,190,"September 12, 1971",Seton Hall University,False,False
Red Dehnert,1947,1947,F,6-3,175,,Columbia University,False,False
Bryce Dejean-Jones,2016,2016,G,6-6,209,"August 21, 1992",Iowa State University,True,False
Sam Dekker,2016,2016,F,6-9,230,"May 6, 1994",University of Wisconsin,True,False
Vinny Del Negro,1989,2002,G,6-4,185,"August 9, 1966",North Carolina State University,False,False
Bison Dele,1992,1999,F-C,6-9,235,"April 6, 1969",University of Arizona,False,False
Carlos Delfino,2005,2013,G,6-6,230,"August 29, 1982",,False,False
Tony Delk,1997,2006,G,6-1,189,"January 28, 1974",University of Kentucky,False,False
Matthew Dellavedova,2014,2016,G,6-4,198,"September 8, 1990",Saint Mary's College of California,True,False
Nate DeLong,1952,1952,C,6-6,220,"January 5, 1926",University of Wisconsin-River Falls,False,False
Fennis Dembo,1989,1989,F,6-5,215,"January 24, 1966",University of Wyoming,False,False
Larry Demic,1980,1982,F-C,6-9,225,"June 27, 1957",University of Arizona,False,False
Dell Demps,1994,1997,G,6-3,205,"February 12, 1970",University of the Pacific,False,False
George Dempsey,1955,1959,G,6-2,190,"July 19, 1929",King's College,False,False
Luol Deng,2005,2016,F,6-9,220,"April 16, 1985",Duke University,True,False
Kenny Dennard,1982,1984,F,6-8,220,"October 18, 1958",Duke University,False,False
Blaine Denning,1953,1953,G,6-2,175,"September 19, 1930",Lawrence Technological University,False,False
Justin Dentmon,2012,2013,G,5-11,185,"September 5, 1985",University of Washington,False,False
Randy Denton,1972,1977,C,6-10,240,"February 18, 1949",Duke University,False,False
Joe DePre,1971,1973,G,6-3,185,"December 19, 1947",St. John's University,False,False
Rod Derline,1975,1976,G,6-0,175,"March 11, 1952",Seattle University,False,False
DeMar DeRozan,2010,2016,G,6-7,220,"August 7, 1989",University of Southern California,True,False
Dave Deutsch,1967,1967,G,6-1,170,"May 13, 1945",University of Rochester,False,False
Corky Devlin,1956,1958,G,6-5,195,"December 21, 1931",George Washington University,False,False
Hank DeZonie,1951,1951,C-F,6-6,215,"February 12, 1922",Clark Atlanta University,False,False
Derrick Dial,2000,2004,G,6-4,184,"December 20, 1975",Eastern Michigan University,False,False
Boris Diaw,2004,2016,F-C,6-8,250,"April 16, 1982",,True,False
Yakhouba Diawara,2007,2010,G-F,6-7,225,"August 29, 1982",Pepperdine University,True,False
Guillermo Diaz,2008,2008,G,6-2,192,"March 4, 1985",University of Miami,False,False
Dan Dickau,2003,2008,G,6-0,190,"September 16, 1978",Gonzaga University,False,False
Kaniel Dickens,2004,2008,F,6-8,215,"July 21, 1978",University of Idaho,False,False
Henry Dickerson,1976,1977,G,6-4,190,"November 27, 1951",University of Charleston,False,False
Michael Dickerson,1999,2003,G-F,6-5,190,"June 25, 1975",University of Arizona,False,False
Clyde Dickey,1975,1975,G,6-3,185,"December 14, 1951",Boise State University,False,False
Derrek Dickey,1974,1978,F,6-7,218,"March 20, 1951",University of Cincinnati,False,False
Dick Dickey,1952,1952,G,6-1,175,"October 26, 1926",North Carolina State University,False,False
John Dickson,1968,1968,C,6-10,240,"November 18, 1945",Arkansas State University,False,False
Travis Diener,2006,2010,G,6-1,175,"March 1, 1982",Marquette University,False,False
Gorgui Dieng,2014,2016,C,6-11,241,"January 18, 1990",University of Louisville,True,False
Connie Dierking,1959,1971,C-F,6-9,222,"October 2, 1936",University of Cincinnati,False,False
Coby Dietrick,1971,1983,C-F,6-10,220,"July 23, 1948",San Jose State University,False,False
Ernie DiGregorio,1974,1978,G,6-0,180,"January 15, 1951",Providence College,False,False
Craig Dill,1968,1968,C,6-11,215,"December 17, 1944",University of Michigan,False,False
Dwaine Dillard,1976,1976,F,6-6,230,"March 9, 1949",Eastern Michigan University,False,False
Mickey Dillard,1982,1982,G,6-3,170,"October 15, 1958",Florida State University,False,False
Bob Dille,1947,1947,F,6-3,190,"July 2, 1917",Valparaiso University,False,False
Hook Dillon,1950,1950,F,6-3,180,"January 8, 1924",University of North Carolina,False,False
Byron Dinkins,1990,1991,G,6-1,170,"June 15, 1967",University of North Carolina at Charlotte,False,False
Jackie Dinkins,1972,1972,F,6-5,210,"January 22, 1950",Voorhees College,False,False
Harry Dinnel,1968,1968,F-G,6-4,200,,Pepperdine University,False,False
Bill Dinwiddie,1968,1972,F,6-7,220,"July 15, 1943",New Mexico Highlands University,False,False
Spencer Dinwiddie,2015,2016,G,6-6,200,"April 6, 1993",University of Colorado,True,False
Ike Diogu,2006,2012,F,6-8,250,"September 11, 1983",Arizona State University,True,False
DeSagana Diop,2002,2013,C,7-0,300,"January 30, 1982",,False,False
Terry Dischinger,1963,1973,F-G,6-7,189,"November 21, 1940",Purdue University,False,False
Fred Diute,1955,1955,G,6-3,210,"January 9, 1929",St. Bonaventure University,False,False
Vlade Divac,1990,2005,C,7-1,243,"February 3, 1968",,False,False
Juan Dixon,2003,2009,G,6-3,164,"October 9, 1978",University of Maryland,False,False
Aleksandar Djordjevic,1997,1997,G,6-2,198,"August 26, 1967",,False,False
Earl Dodd,1950,1950,F,6-5,175,"November 1, 1924",Truman State University,False,False
Michael Doleac,1999,2008,C,6-11,262,"June 15, 1977",University of Utah,False,False
Joe Dolhon,1950,1951,G,6-0,175,"July 9, 1927",New York University,False,False
Bob Doll,1947,1950,F-C,6-5,195,"August 10, 1919",University of Colorado,False,False
James Donaldson,1981,1995,C,7-2,275,"August 16, 1957",Washington State University,False,False
Bob Donham,1951,1954,G-F,6-2,190,"October 11, 1926",Ohio State University,False,False
Billy Donovan,1988,1988,G,5-11,171,"May 30, 1965",Providence College,False,False
Harry Donovan,1950,1950,G,6-2,180,"September 10, 1926",Muhlenberg College,False,False
Keyon Dooling,2001,2013,G,6-3,196,"May 8, 1980",University of Missouri,False,False
Jacky Dorsey,1978,1981,F,6-7,230,"December 18, 1954",University of Georgia,False,False
Joey Dorsey,2009,2015,F,6-8,268,"December 16, 1983",University of Memphis,True,False
Ron Dorsey,1972,1972,F,6-4,200,"October 10, 1948",Tennessee State University,False,False
Quincy Douby,2007,2009,G,6-3,175,"May 16, 1984",Rutgers University,False,False
Bruce Douglas,1987,1987,G,6-3,195,"April 9, 1964",University of Illinois at Urbana-Champaign,False,False
John Douglas,1982,1983,G,6-2,170,"June 12, 1956",University of Kansas,False,False
Leon Douglas,1977,1983,C-F,6-10,230,"August 26, 1954",University of Alabama,False,False
Sherman Douglas,1990,2001,G,6-0,180,"September 15, 1966",Syracuse University,False,False
Toney Douglas,2010,2016,G,6-2,195,"March 16, 1986",Florida State University,True,False
Chris Douglas-Roberts,2009,2015,G,6-7,200,"January 8, 1987",University of Memphis,True,False
Sonny Dove,1968,1972,F,6-7,198,"August 16, 1945",St. John's University,False,False
Jerry Dover,1972,1972,G,5-7,155,"October 16, 1949",LeMoyne-Owen College,False,False
Zabian Dowdell,2011,2011,G,6-3,191,"September 10, 1984",Virginia Polytechnic Institute and State University,False,False
Bill Downey,1948,1948,C,6-6,210,"November 11, 1923",Marquette University,False,False
Steve Downing,1974,1975,C,6-8,225,"September 9, 1950",Indiana University,False,False
Danny Doyle,1963,1963,F,6-8,200,"February 6, 1940",Belmont Abbey College,False,False
Terry Dozier,1990,1990,F,6-9,210,"June 29, 1966",University of South Carolina,False,False
Goran Dragic,2009,2016,G,6-3,190,"May 6, 1986",,True,False
Zoran Dragic,2015,2015,G-F,6-5,200,"June 22, 1989",,True,False
Greg Dreiling,1987,1997,C,7-1,250,"November 7, 1962",University of Kansas,False,False
Bryce Drew,1999,2004,G,6-2,185,"September 21, 1974",Valparaiso University,False,False
John Drew,1975,1985,F-G,6-6,205,"September 30, 1954",Gardner-Webb University,False,False
Larry Drew,1981,1991,G,6-1,170,"April 2, 1958",University of Missouri,True,False
Larry Drew,2015,2015,G,6-2,180,"March 5, 1990","University of California, Los Angeles",True,False
Clyde Drexler,1984,1998,G,6-7,210,"June 22, 1962",University of Houston,False,True
Nate Driggers,1997,1997,G,6-5,215,"October 12, 1973",University of Montevallo,False,False
Terry Driscoll,1971,1975,F,6-7,215,"August 28, 1947",Boston College,False,False
Predrag Drobnjak,2002,2005,C,6-11,270,"October 27, 1975",,False,False
Ralph Drollinger,1981,1981,C,7-2,250,"April 20, 1954","University of California, Los Angeles",False,False
Andre Drummond,2013,2016,C,6-11,279,"August 10, 1993",University of Connecticut,True,False
Dick Duckett,1958,1958,G,6-1,185,"March 25, 1933",St. John's University,False,False
Kevin Duckworth,1987,1997,C,7-0,275,"April 1, 1964",Eastern Illinois University,False,False
Charles Dudley,1973,1979,G,6-2,180,"March 5, 1950",University of Washington,False,False
Chris Dudley,1988,2003,C,6-11,235,"February 22, 1965",Yale University,False,False
Jared Dudley,2008,2016,F-G,6-7,225,"July 10, 1985",Boston College,True,False
Terry Duerod,1980,1983,G,6-2,180,"July 29, 1956",University of Detroit Mercy,False,False
Bob Duffy,1947,1947,F,6-4,175,"July 5, 1922",Tulane University,False,False
Bob Duffy,1963,1965,G,6-3,185,"September 26, 1940",Colgate University,False,False
Chris Duhon,2005,2013,G,6-1,185,"August 31, 1982",Duke University,False,False
Duje Dukan,2016,2016,F,6-9,220,"December 4, 1991",University of Wisconsin,True,False
Walter Dukes,1956,1963,C,7-0,220,"June 23, 1930",Seton Hall University,False,False
Joe Dumars,1986,1999,G,6-3,190,"May 24, 1963",McNeese State University,False,True
Rich Dumas,1969,1969,G,6-3,170,,Northeastern State University,False,False
Richard Dumas,1993,1996,F,6-7,200,"May 19, 1969",Oklahoma State University,False,False
Tony Dumas,1995,1998,G,6-6,190,"August 25, 1972",University of Missouri-Kansas City,False,False
Andy Duncan,1949,1951,F-C,6-6,195,"April 17, 1922",College of William & Mary,False,False
Tim Duncan,1998,2016,F-C,6-11,250,"April 25, 1976",Wake Forest University,True,False
Mike Dunleavy,1977,1990,G,6-3,180,"March 21, 1954",University of South Carolina,True,False
Mike Dunleavy,2003,2016,F-G,6-9,230,"September 15, 1980",Duke University,True,False
Pat Dunn,1958,1958,G,6-2,170,"March 17, 1931",Utah State University,False,False
T.R. Dunn,1978,1991,G-F,6-4,192,"February 1, 1955",University of Alabama,False,False
Ronald Dupree,2004,2011,F,6-7,209,"January 26, 1981",Louisiana State University,False,False
Kevin Durant,2008,2016,F-G,6-9,240,"September 29, 1988",University of Texas at Austin,True,False
John Duren,1981,1983,G,6-3,195,"October 30, 1958",Georgetown University,False,False
Jarrett Durham,1972,1972,F,6-5,188,"August 22, 1949",Duquesne University,False,False
Pat Durham,1993,1995,F,6-7,210,"March 10, 1967",Colorado State University,False,False
Devin Durrant,1985,1986,F,6-7,200,"October 20, 1960",Brigham Young University,False,False
Ken Durrett,1972,1975,F,6-7,190,"December 8, 1948",La Salle University,False,False
Dennis DuVal,1975,1976,G,6-3,175,"March 31, 1952",Syracuse University,False,False
Jack Dwan,1949,1949,F-G,6-4,200,"May 3, 1921",Loyola University of Chicago,False,False
Craig Dykema,1982,1982,F,6-8,190,"June 11, 1959","California State University, Long Beach",False,False
Gene Dyker,1954,1954,F,6-6,225,"February 17, 1930",DePaul University,False,False
Jerome Dyson,2012,2012,G,6-3,180,"May 1, 1987",University of Connecticut,False,False
Ledell Eackles,1989,1998,G-F,6-5,220,"November 24, 1966",University of New Orleans,False,False
Jim Eakins,1969,1978,C,6-11,215,"May 24, 1946",Brigham Young University,False,False
Acie Earl,1994,1997,F-C,6-10,240,"June 23, 1970",University of Iowa,False,False
Ed Earle,1954,1954,F,6-3,190,"April 28, 1927",Loyola University of Chicago,False,False
Cleanthony Early,2015,2016,F,6-8,210,"April 17, 1991",Wichita State University,True,False
Penny Early,1969,1969,G,5-3,114,"May 30, 1943",,False,False
Mark Eaton,1983,1993,C,7-4,275,"January 24, 1957","University of California, Los Angeles",False,False
Jerry Eaves,1983,1987,G,6-4,180,"February 8, 1959",University of Louisville,False,False
Devin Ebanks,2011,2013,F,6-9,215,"October 28, 1989",West Virginia University,True,False
Bill Ebben,1958,1958,G,6-4,190,"October 7, 1935",University of Detroit Mercy,False,False
Al Eberhard,1975,1978,F,6-6,225,"May 10, 1952",University of Missouri,False,False
Ndudi Ebi,2004,2005,F,6-9,200,"June 18, 1984",,False,False
Roy Ebron,1974,1974,C,6-9,220,"August 31, 1951",University of Louisiana at Lafayette,False,False
Jarell Eddie,2016,2016,G-F,6-7,218,"October 30, 1991",Virginia Polytechnic Institute and State University,True,False
Patrick Eddie,1992,1992,C,6-11,240,"December 27, 1967",University of Mississippi,False,False
Dike Eddleman,1950,1953,F-G,6-3,189,"December 27, 1922",University of Illinois at Urbana-Champaign,False,False
Kenton Edelin,1985,1985,F,6-8,205,"May 24, 1962",University of Virginia,False,False
Charles Edge,1974,1975,F,6-6,210,"February 23, 1950",LeMoyne-Owen College,False,False
Bobby Edmonds,1968,1970,F,6-6,220,"March 8, 1941",Tennessee State University,False,False
Keith Edmonson,1983,1984,G,6-5,195,"September 28, 1960",Purdue University,False,False
Tyus Edney,1996,2001,G,5-10,152,"February 14, 1973","University of California, Los Angeles",False,False
Bill Edwards,1994,1994,F,6-8,215,"September 22, 1971",Wright State University,False,False
Blue Edwards,1990,1999,G-F,6-4,200,"October 31, 1965",East Carolina University,False,False
Corsley Edwards,2005,2005,F,6-9,275,"March 5, 1979",Central Connecticut State University,False,False
Doug Edwards,1994,1996,F,6-7,220,"January 21, 1971",Florida State University,False,False
Franklin Edwards,1982,1988,G,6-1,170,"February 2, 1959",Cleveland State University,False,False
James Edwards,1978,1996,C-F,7-0,225,"November 22, 1955",University of Washington,False,False
Jay Edwards,1990,1990,G,6-4,185,"January 3, 1969",Indiana University,False,False
John Edwards,2005,2006,C,7-0,275,"July 31, 1981",Kent State University,False,False
Kevin Edwards,1989,2001,G,6-3,190,"October 30, 1965",DePaul University,False,False
Shane Edwards,2014,2014,F,6-7,220,"May 31, 1987",University of Arkansas at Little Rock,True,False
Johnny Egan,1962,1972,G,5-11,180,"January 31, 1939",Providence College,False,False
Lonnie Eggleston,1949,1949,G,6-0,170,"June 8, 1918",Oklahoma State University,False,False
Bulbs Ehlers,1948,1949,F-G,6-3,198,"March 10, 1923",Purdue University,False,False
Craig Ehlo,1984,1997,G-F,6-6,180,"August 11, 1961",Washington State University,False,False
Rich Eichhorst,1962,1962,G,6-3,200,"October 21, 1933",Southeast Missouri State University,False,False
Howard Eisley,1995,2006,G,6-2,177,"December 4, 1972",Boston College,False,False
Obinna Ekezie,2000,2005,F-C,6-9,270,"August 22, 1975",University of Maryland,False,False
Khalid El-Amin,2001,2001,G,5-10,200,"April 25, 1979",University of Connecticut,False,False
Don Eliason,1947,1947,F,6-2,210,"July 24, 1918",Hamline University,False,False
Mario Elie,1991,2001,G-F,6-5,210,"November 26, 1963",American International College,False,False
Ray Ellefson,1949,1951,C,6-8,230,"November 18, 1922",West Texas A&M University,False,False
Wayne Ellington,2010,2016,G,6-4,200,"October 29, 1987",University of North Carolina,True,False
